Units,SqFt,Income,Expense,ValuePerSqFt,Boro
25,50523,1469714,613854,127.13,Manhattan
12,12499,317600,130365,108.65,Manhattan
15,21583,491661,197700,99.48,Manhattan
14,24987,445018,209641,67.92,Manhattan
73,152994,3786602,1341757,116.14,Manhattan
207,276305,8764395,2591741,159.92,Manhattan
359,362220,11355597,3531645,161.87,Manhattan
100,77882,3600000,935000,317.18,Manhattan
56,39543,1108786,487565,113.09,Manhattan
25,35792,204503,102250,12.69,Manhattan
302,358000,11982260,4227980,129.66,Manhattan
56,80242,2300000,870000,133.91,Manhattan
61,97950,2500000,900000,118.98,Manhattan
166,267321,6910248,2331039,124.09,Manhattan
31,49780,1576035,617770,143.61,Manhattan
79,163616,3486657,1120770,106.07,Manhattan
32,32752,1170229,348809,185.27,Manhattan
68,152422,6107550,1964720,205.41,Manhattan
64,132905,5325503,1713145,205.41,Manhattan
345,221974,5682534,1711420,129.66,Manhattan
46,33324,1055038,413551,143.59,Manhattan
64,133872,4167435,1137912,169.0,Manhattan
148,107102,2711823,645825,140.0,Manhattan
36,59769,1848000,571390,159.58,Manhattan
49,55578,1718472,531326,159.58,Manhattan
56,70493,2180000,675000,159.51,Manhattan
55,79805,2622392,923344,158.31,Manhattan
135,147648,3778312,1529633,110.93,Manhattan
71,46573,1418148,556547,138.34,Manhattan
61,90386,1500000,680000,59.63,Manhattan
33,39500,815000,316000,92.84,Manhattan
33,45120,1346832,558134,130.98,Manhattan
76,116255,1825204,685905,67.04,Manhattan
106,195971,4528890,1567768,110.3,Manhattan
53,132377,2440000,1125000,71.47,Manhattan
137,165106,4527207,1662617,125.82,Manhattan
67,103749,1956706,660881,89.74,Manhattan
151,192853,4776969,1847532,110.38,Manhattan
46,63300,1669221,660219,115.32,Manhattan
28,52916,1254638,563555,95.21,Manhattan
23,37719,894317,401707,95.2,Manhattan
25,44329,844467,391868,73.27,Manhattan
21,46991,1114157,500454,95.21,Manhattan
26,28300,849000,250000,158.45,Manhattan
19,29315,695059,312205,95.21,Manhattan
48,54628,1531769,673563,113.09,Manhattan
11,8195,229788,101044,113.12,Manhattan
12,11436,318721,130942,117.61,Manhattan
16,15210,360629,161987,82.45,Manhattan
47,87400,2072254,930810,95.21,Manhattan
64,63252,1499705,673634,95.21,Manhattan
74,59844,1418901,637339,95.2,Manhattan
22,19500,462345,207675,95.18,Manhattan
6,7739,197190,67948,113.84,Manhattan
6,6601,168193,57957,113.48,Manhattan
89,109191,3275730,912837,161.99,Manhattan
10,14160,335734,150804,95.13,Manhattan
44,55379,1160190,349995,105.06,Manhattan
11,25230,598203,268700,95.2,Manhattan
12,9741,185469,62927,209.32,Manhattan
32,35082,679889,311177,75.37,Manhattan
36,38386,743921,340484,75.37,Manhattan
41,45436,1077288,483893,95.21,Manhattan
95,147404,2811000,1097000,59.48,Manhattan
49,63586,1574389,356082,106.63,Manhattan
48,108510,2572772,1155632,95.21,Manhattan
123,99275,2216811,764418,105.8,Manhattan
93,108572,2574242,1156292,95.2,Manhattan
54,67413,1598362,717948,95.2,Manhattan
125,117030,1781000,360000,78.7,Manhattan
74,93600,2219256,996840,95.2,Manhattan
52,70212,1664727,747758,95.2,Manhattan
39,42760,1006143,362605,54.69,Manhattan
15,23765,469121,181089,82.39,Manhattan
170,240000,5690400,2556000,95.2,Manhattan
28,41964,813262,372221,75.35,Manhattan
13,21862,518348,232830,95.19,Manhattan
29,31308,742313,333430,95.22,Manhattan
48,37103,718685,332443,74.63,Manhattan
32,23822,564820,253704,95.21,Manhattan
10,11928,282813,127033,95.15,Manhattan
28,30976,600315,274757,75.35,Manhattan
29,30584,650216,221428,102.86,Manhattan
104,143389,3399753,1527093,95.2,Manhattan
28,36188,694448,229070,92.24,Manhattan
14,18306,434035,194959,95.21,Manhattan
47,76584,1400721,527664,82.03,Manhattan
128,212047,5027634,2258301,95.21,Manhattan
26,35390,685504,317094,74.65,Manhattan
180,204835,4856638,2181493,95.2,Manhattan
135,164085,3890455,1747505,95.2,Manhattan
134,161156,3821009,1716311,95.21,Manhattan
77,91858,2177953,978288,95.2,Manhattan
38,25050,560870,198897,105.63,Manhattan
6,6390,123774,57254,74.49,Manhattan
20,17565,340234,157382,74.64,Manhattan
12,12000,284520,127800,95.17,Manhattan
54,30886,598262,276739,74.63,Manhattan
64,43135,835525,386490,74.65,Manhattan
25,24132,467437,216223,74.63,Manhattan
35,30441,589642,272751,74.64,Manhattan
50,86020,1666207,770739,74.65,Manhattan
36,38578,747256,345659,42.77,Manhattan
49,67805,1467300,444801,110.54,Manhattan
74,107100,2074527,959616,74.64,Manhattan
13,22052,525000,135000,128.24,Manhattan
48,52476,960836,484353,65.33,Manhattan
93,97650,1581930,895451,47.86,Manhattan
53,58230,676633,362191,29.09,Manhattan
41,51426,886584,488033,55.96,Manhattan
113,109752,2370643,1162274,79.9,Manhattan
79,101844,2322043,809660,107.89,Manhattan
72,72986,1124725,513092,54.56,Manhattan
20,22838,681714,282506,130.97,Manhattan
65,55522,1075461,497477,74.64,Manhattan
56,75765,2124451,934182,113.09,Manhattan
89,76970,1029089,525705,43.38,Manhattan
12,10950,236520,115961,80.73,Manhattan
124,227916,5150902,1802816,104.25,Brooklyn
13,24672,543031,222643,95.09,Brooklyn
69,78352,1739414,608795,108.33,Brooklyn
58,52530,1021183,462789,76.2,Brooklyn
13,20085,442071,154655,104.95,Brooklyn
87,158053,3571998,1393079,100.75,Brooklyn
21,23150,581065,182191,125.1,Brooklyn
31,41476,912887,319510,104.76,Brooklyn
259,375000,6915000,3111750,68.86,Brooklyn
56,58066,1354680,473819,104.12,Brooklyn
79,87554,1978720,577856,116.93,Brooklyn
266,301131,6805561,1987465,116.93,Brooklyn
37,35464,780563,232998,113.07,Brooklyn
31,35389,778912,232506,106.42,Brooklyn
59,54200,1619496,644438,134.78,Brooklyn
306,271963,8025628,2404153,154.98,Brooklyn
99,73232,2122996,636899,152.32,Brooklyn
50,56769,1324988,409872,117.62,Brooklyn
9,8000,176080,81520,86.87,Brooklyn
21,21046,408292,121834,97.6,Brooklyn
39,42550,936526,279554,113.07,Brooklyn
71,70037,1541514,460143,113.07,Brooklyn
11,12998,310002,148801,90.32,Brooklyn
15,19605,381121,152448,83.6,Brooklyn
1,6966,81015,42128,35.89,Brooklyn
22,26677,587161,175268,113.06,Brooklyn
23,29086,565432,226173,83.61,Brooklyn
57,52396,1153236,344242,111.9,Brooklyn
56,74131,1983746,714149,123.79,Brooklyn
23,25230,556826,228299,97.78,Brooklyn
438,628669,15886466,5004205,125.64,Brooklyn
24,43181,410220,91544,72.98,Brooklyn
12,9207,236896,86467,118.39,Brooklyn
11,21259,467911,139672,113.08,Brooklyn
33,32500,715325,257517,103.17,Brooklyn
299,324465,8552897,3506688,112.53,Brooklyn
19,5520,19706,5354,16.12,Brooklyn
8,5239,152141,58258,134.57,Brooklyn
2,3170,75319,32366,98.74,Brooklyn
321,248762,7482761,2850813,139.45,Brooklyn
56,68330,1628987,667885,102.43,Brooklyn
14,19388,426730,127379,113.06,Brooklyn
47,36858,963100,385535,225.0,Brooklyn
20,9924,234703,55376,128.58,Brooklyn
32,38705,972270,395178,108.59,Brooklyn
59,84695,1704063,528260,99.25,Brooklyn
3,61991,991236,346933,70.35,Brooklyn
12,14291,281676,126761,80.82,Brooklyn
36,41786,806470,303784,86.27,Brooklyn
13,17463,384361,136211,104.05,Brooklyn
70,71212,1384361,567588,71.21,Brooklyn
70,84000,1632960,734832,76.65,Brooklyn
71,79058,1740067,713427,95.09,Brooklyn
34,36973,695092,312791,74.3,Brooklyn
60,52529,969160,409726,76.36,Brooklyn
10,8888,186737,84080,84.61,Brooklyn
20,24122,530925,238916,88.63,Brooklyn
26,20000,381000,177400,73.05,Brooklyn
13,15394,338822,138917,95.1,Brooklyn
14,9393,176588,90943,65.69,Brooklyn
40,56542,1244489,472906,97.7,Brooklyn
15,13201,248179,127812,65.68,Brooklyn
20,32490,699835,216949,88.43,Brooklyn
42,49690,1082248,551946,78.16,Brooklyn
13,20037,484495,232558,91.58,Brooklyn
48,63000,1216530,425786,90.0,Brooklyn
6,6652,129315,61664,68.7,Brooklyn
36,25047,584597,204609,110.67,Brooklyn
9,5763,121715,48686,93.18,Brooklyn
26,33198,645369,225879,90.73,Brooklyn
2,1954,50824,19313,117.2,Brooklyn
55,54818,1065662,508163,72.91,Brooklyn
12,10604,227456,93257,92.8,Brooklyn
12,14037,272879,122796,76.65,Brooklyn
124,133465,2945573,1053042,103.84,Brooklyn
25,24769,545166,162732,113.08,Brooklyn
23,10247,164669,69029,67.53,Brooklyn
14,10000,185000,82300,74.3,Brooklyn
10,16012,352424,144494,95.43,Brooklyn
12,16316,294341,138360,72.32,Brooklyn
31,23034,449854,192334,80.14,Brooklyn
54,54770,754731,376270,36.83,Brooklyn
9,8171,191610,78442,101.33,Brooklyn
36,32805,484858,278186,43.47,Brooklyn
25,25600,378368,197120,48.94,Brooklyn
18,10819,175160,83198,57.86,Brooklyn
10,8984,173840,75016,78.92,Brooklyn
8,9894,254672,164834,60.95,Brooklyn
13,12334,245447,90655,92.1,Brooklyn
13,13070,300610,108220,105.82,Brooklyn
11,12090,247241,98896,89.83,Brooklyn
38,47862,1053443,421377,96.72,Brooklyn
14,18855,364844,126517,90.59,Brooklyn
16,12490,242806,113035,71.41,Brooklyn
35,36872,738177,332217,80.2,Brooklyn
18,17983,306790,122716,74.79,Brooklyn
10,11633,226146,103185,75.9,Brooklyn
8,8400,152880,53676,86.79,Brooklyn
15,24043,433736,154596,85.01,Brooklyn
16,12950,257705,94535,92.43,Brooklyn
16,12930,264419,105768,90.02,Brooklyn
12,10194,196642,78698,83.19,Brooklyn
16,13180,246202,110844,68.51,Brooklyn
16,9903,201328,70465,94.42,Brooklyn
16,21829,501194,175418,88.78,Brooklyn
8,5085,149245,63056,122.32,Brooklyn
24,20750,381593,171717,73.88,Brooklyn
47,68505,1507795,618196,95.1,Brooklyn
36,39656,745136,366421,68.62,Brooklyn
10,27213,511332,246550,69.89,Brooklyn
22,35741,691588,242056,90.18,Brooklyn
36,38430,747079,306302,82.23,Brooklyn
12,13731,239331,102845,71.74,Brooklyn
38,49768,1029202,421973,89.64,Brooklyn
11,9102,179947,73778,83.5,Brooklyn
14,14976,318090,141673,86.4,Brooklyn
30,20202,400606,172929,75.68,Brooklyn
18,15740,305986,107095,90.6,Brooklyn
8,13361,380254,174094,111.44,Brooklyn
32,40038,799158,336720,82.62,Brooklyn
40,36669,752081,308353,86.39,Brooklyn
11,23222,511116,178891,104.77,Brooklyn
36,48738,947467,331613,90.59,Brooklyn
46,94982,1688780,711415,74.19,Brooklyn
30,30802,677952,202369,113.08,Brooklyn
68,54122,1161458,406510,102.29,Brooklyn
113,115310,2474700,866145,104.71,Brooklyn
2,2050,72058,29930,152.2,Brooklyn
60,51102,1061900,371665,101.39,Brooklyn
16,21599,452499,167824,96.76,Brooklyn
19,15637,319777,189677,55.57,Brooklyn
131,37880,812905,333291,92.85,Brooklyn
12,21200,472336,197011,95.09,Brooklyn
15,17208,356722,167434,78.86,Brooklyn
7,6570,127721,60904,73.06,Brooklyn
18,19844,493322,202607,106.73,Brooklyn
16,22618,497822,213966,91.92,Brooklyn
8,8416,185236,79615,92.21,Brooklyn
8,6625,145816,62673,92.23,Brooklyn
16,19350,411575,164630,93.64,Brooklyn
20,25216,555004,194251,104.77,Brooklyn
45,54488,1151331,525809,84.24,Brooklyn
20,27584,607124,248921,95.09,Brooklyn
16,11732,253294,124114,80.72,Brooklyn
22,49210,924656,352344,83.58,Brooklyn
15,10911,264592,119066,97.06,Brooklyn
27,23280,534509,187078,102.53,Brooklyn
10,6516,136250,61641,84.1,Brooklyn
18,13352,334334,162093,93.69,Brooklyn
42,27200,667760,287137,101.73,Brooklyn
34,56518,936503,421426,65.34,Brooklyn
37,58100,858718,492688,43.46,Brooklyn
29,23868,472825,165489,92.13,Brooklyn
1,4500,133245,50040,138.89,Brooklyn
24,13057,281901,107122,92.36,Brooklyn
15,11800,265500,94046,99.83,Brooklyn
11,7770,200078,90035,102.06,Brooklyn
30,34417,663216,232126,91.61,Brooklyn
12,13550,329401,133061,105.98,Brooklyn
16,14269,272395,137410,67.91,Brooklyn
15,19789,354223,170383,66.96,Brooklyn
10,10313,193781,73841,83.78,Brooklyn
18,27168,510487,235275,72.95,Brooklyn
168,230680,2645900,1137738,36.62,Brooklyn
39,72356,1455803,597661,84.79,Brooklyn
21,33120,573638,257674,68.87,Brooklyn
18,17209,345385,138154,86.47,Brooklyn
14,24639,679297,251318,103.54,Brooklyn
48,32139,810546,348387,104.36,Brooklyn
14,8392,194191,77626,101.17,Brooklyn
11,8620,189726,75856,96.75,Brooklyn
12,22128,341214,169058,53.37,Brooklyn
22,19525,259683,135504,42.2,Brooklyn
16,27429,408144,217786,47.83,Brooklyn
16,40060,498346,263995,36.99,Brooklyn
48,65071,1182991,566118,68.23,Brooklyn
16,17680,214282,85571,46.27,Brooklyn
13,20260,322742,129097,70.14,Brooklyn
21,41697,672573,331908,53.96,Brooklyn
50,67889,1082151,518672,56.64,Brooklyn
15,26660,332450,136305,49.32,Brooklyn
13,8136,142705,70051,64.41,Brooklyn
26,35732,620308,291545,66.41,Brooklyn
95,174796,3128848,1576660,64.01,Brooklyn
22,30700,419362,231171,38.34,Brooklyn
30,30360,468151,231950,51.81,Brooklyn
15,15785,264714,127063,63.1,Brooklyn
30,50668,754447,390144,39.4,Brooklyn
12,13640,161770,84120,36.36,Brooklyn
8,7560,89662,48535,34.79,Brooklyn
3,4500,53370,28890,34.89,Brooklyn
3,4500,53370,28890,34.89,Brooklyn
6,10140,120260,65099,34.81,Brooklyn
60,53760,730598,374707,43.79,Brooklyn
24,32087,436062,228780,36.0,Brooklyn
20,25632,303996,164557,31.37,Brooklyn
15,11050,166855,84422,51.31,Brooklyn
12,15335,208403,106885,43.82,Brooklyn
40,54600,683046,348353,41.08,Brooklyn
16,15600,323076,149916,65.83,Brooklyn
24,31793,491520,245760,52.97,Brooklyn
18,22659,322891,161446,49.38,Brooklyn
6,10288,162962,73353,59.58,Brooklyn
1,14647,314178,111317,101.8,Brooklyn
12,14869,282065,131888,72.5,Brooklyn
9,8670,163256,75082,73.24,Brooklyn
12,18266,378106,177710,80.59,Brooklyn
12,19028,393880,185124,80.62,Brooklyn
12,19030,393921,185143,80.61,Brooklyn
12,18158,375871,176659,80.57,Brooklyn
45,36414,648169,313525,66.27,Brooklyn
10,16833,299627,144932,66.3,Brooklyn
4,5772,102742,49697,66.35,Brooklyn
4,5890,104842,50713,66.38,Brooklyn
5,7463,132841,64256,66.33,Brooklyn
5,8270,147206,71205,66.26,Brooklyn
12,21442,459931,202841,87.91,Brooklyn
24,33600,720720,317856,87.92,Brooklyn
12,20470,439082,193646,87.93,Brooklyn
12,10403,223144,98412,87.96,Brooklyn
12,12338,264650,116717,87.94,Brooklyn
12,12110,250677,102778,89.68,Brooklyn
6,12164,251795,103236,89.77,Brooklyn
12,7297,151048,61930,89.76,Brooklyn
72,93353,1478712,665607,59.53,Brooklyn
36,58244,1205651,494317,89.71,Brooklyn
16,11808,244426,100215,89.69,Brooklyn
50,64803,1217648,584471,70.21,Brooklyn
18,24200,454718,186434,79.67,Brooklyn
18,24200,454718,186434,79.67,Brooklyn
18,24200,454718,186434,79.67,Brooklyn
18,24200,454718,186434,79.67,Brooklyn
18,24200,454718,186434,79.67,Brooklyn
32,23344,576597,236405,105.94,Brooklyn
13,11030,166332,81401,48.67,Brooklyn
10,13115,248792,102005,82.27,Brooklyn
20,25423,463207,189915,77.37,Brooklyn
10,13007,246743,101165,80.34,Brooklyn
24,60350,1031382,460471,68.38,Brooklyn
49,53178,1030590,432848,80.6,Brooklyn
10,11935,247055,101293,81.66,Brooklyn
18,20620,426834,177136,88.94,Brooklyn
7,9965,206276,84573,89.71,Brooklyn
12,17958,371731,152410,89.71,Brooklyn
4,7968,164938,67625,89.73,Brooklyn
12,15531,321492,131812,89.69,Brooklyn
5,10746,222442,91201,89.71,Brooklyn
6,27054,560018,229607,89.75,Brooklyn
12,14095,291767,119624,89.75,Brooklyn
14,17536,362995,148828,89.7,Brooklyn
10,13470,278829,114320,89.76,Brooklyn
12,17274,357572,146605,89.73,Brooklyn
10,19639,421257,172715,92.98,Brooklyn
12,20930,448949,184069,92.79,Brooklyn
12,18965,406799,166788,81.73,Brooklyn
14,15401,218592,104924,51.17,Brooklyn
12,15957,393180,161204,105.66,Brooklyn
5,6127,115126,43869,83.73,Brooklyn
16,17259,425262,174357,105.68,Brooklyn
14,17065,276453,113312,65.1,Brooklyn
12,22160,280102,101050,54.06,Brooklyn
95,130468,3214732,1575219,91.35,Brooklyn
103,107974,2660479,1079740,106.41,Brooklyn
4,6056,117184,50568,78.93,Brooklyn
8,8327,236986,94928,122.61,Brooklyn
67,76541,1481068,639117,78.87,Brooklyn
25,29054,564810,269331,59.44,Brooklyn
32,40106,784072,321470,82.66,Brooklyn
19,11899,216800,86625,78.75,Brooklyn
31,40875,899659,367875,95.27,Brooklyn
16,19724,385604,157792,68.44,Brooklyn
23,31540,610299,263359,68.48,Brooklyn
28,34890,675122,291332,67.3,Brooklyn
48,38056,736384,337557,71.97,Brooklyn
12,9280,181424,96046,65.95,Brooklyn
13,20857,407754,120553,98.67,Brooklyn
20,29817,607840,282069,78.31,Brooklyn
48,59400,787644,363528,49.53,Brooklyn
12,10734,236899,95318,94.19,Brooklyn
8,7370,193463,79301,102.31,Brooklyn
16,18039,280229,128077,60.59,Brooklyn
16,11725,338640,116898,135.86,Brooklyn
29,24001,469220,164227,91.08,Brooklyn
36,32500,675597,211250,94.86,Brooklyn
53,63540,1022714,463842,63.2,Brooklyn
11,12942,195373,76549,193.17,Brooklyn
11,7631,143386,62193,76.4,Brooklyn
56,58179,1280520,486598,99.93,Brooklyn
251,332324,8760061,3854427,106.81,Brooklyn
240,202727,5343884,2190992,112.53,Brooklyn
12,22750,389935,164710,71.56,Brooklyn
74,85404,1761030,807922,81.73,Brooklyn
30,34820,691873,380530,63.99,Brooklyn
108,118153,3008175,1450919,95.55,Brooklyn
22,21120,464851,220915,69.27,Brooklyn
13,17910,331872,161548,67.56,Brooklyn
179,206022,5430740,2226603,112.53,Brooklyn
1,6400,118592,66048,59.06,Brooklyn
27,38798,912141,373978,101.17,Brooklyn
24,47988,860905,425174,65.43,Brooklyn
31,60569,927311,380198,62.01,Brooklyn
14,14820,332116,149452,90.15,Brooklyn
14,14820,364424,185250,87.92,Brooklyn
14,20160,495734,237952,92.96,Brooklyn
14,17639,433743,208197,92.98,Brooklyn
30,33036,721176,274047,99.16,Brooklyn
14,23760,518681,233406,87.96,Brooklyn
130,147926,3476261,1564317,85.93,Brooklyn
11,11178,216741,97533,77.12,Brooklyn
27,36290,709832,283788,84.16,Brooklyn
40,73295,1622018,824569,79.66,Brooklyn
12,11981,265140,119313,89.14,Brooklyn
12,23520,494626,187958,83.33,Brooklyn
16,20661,457228,205753,89.11,Brooklyn
75,83525,2021305,707457,114.58,Brooklyn
140,171432,4585806,1605032,128.07,Brooklyn
135,191889,5133031,1950552,105.01,Brooklyn
28,59400,1314522,657261,81.01,Brooklyn
12,10001,231523,108816,89.59,Brooklyn
20,43937,739899,514942,43.24,Brooklyn
19,29440,651507,331200,79.65,Brooklyn
18,27024,598041,304020,79.67,Brooklyn
19,21746,390123,175555,71.09,Brooklyn
36,45801,916020,430529,75.81,Brooklyn
12,38800,702668,351334,66.34,Brooklyn
4,9696,183933,90127,69.31,Brooklyn
66,85046,1824237,766180,91.23,Brooklyn
68,83403,1788994,751461,91.22,Brooklyn
48,67712,1452422,610085,91.22,Brooklyn
13,25704,407151,183270,59.52,Brooklyn
14,14884,271186,119519,73.37,Brooklyn
12,13669,298394,134277,87.94,Brooklyn
66,92218,1978076,1068161,72.35,Brooklyn
12,19680,422136,198404,83.38,Brooklyn
13,25980,487125,301108,51.46,Brooklyn
14,20000,375000,153750,79.5,Brooklyn
12,16950,211536,90960,47.67,Brooklyn
12,16950,350865,150872,86.67,Brooklyn
12,22844,472871,236436,76.04,Brooklyn
12,22704,469973,234987,76.02,Brooklyn
19,53792,1020434,551034,62.63,Brooklyn
12,26762,553973,276987,76.04,Brooklyn
11,32400,610092,305046,67.65,Brooklyn
21,38358,653400,321440,62.67,Brooklyn
12,25904,537508,268754,76.2,Brooklyn
14,19540,404478,153702,94.27,Brooklyn
14,21528,445630,169339,94.3,Brooklyn
14,21338,441697,167845,94.29,Brooklyn
14,22253,460637,175042,94.28,Brooklyn
13,19400,401580,152600,94.28,Brooklyn
14,29200,604440,229687,94.28,Brooklyn
13,21570,446499,169670,94.3,Brooklyn
14,26819,555153,305334,68.42,Brooklyn
35,61764,1650334,825167,96.58,Brooklyn
16,24787,490039,225418,76.41,Brooklyn
16,24787,490039,225418,76.41,Brooklyn
12,27648,572314,263264,82.1,Brooklyn
17,17772,351352,161622,76.41,Brooklyn
16,15052,297578,122007,83.51,Brooklyn
17,16059,317486,130169,83.5,Brooklyn
12,28727,559602,257417,75.4,Brooklyn
12,21510,419015,192747,75.41,Brooklyn
14,25452,479261,196497,79.84,Brooklyn
14,26950,507469,208062,79.81,Brooklyn
14,23692,446120,182909,79.82,Brooklyn
14,25452,463735,190131,77.36,Brooklyn
18,32189,603544,247453,79.5,Brooklyn
16,27224,510450,209285,79.49,Brooklyn
113,196286,3680363,1803378,68.72,Brooklyn
32,39000,836550,342986,92.79,Brooklyn
12,29866,559988,251995,74.1,Brooklyn
18,23938,448838,157093,87.6,Brooklyn
17,22389,470841,193045,91.07,Brooklyn
13,20004,420684,172480,91.08,Brooklyn
33,40200,753750,369338,68.73,Brooklyn
16,24331,456206,209855,72.75,Brooklyn
16,24331,456206,209855,72.75,Brooklyn
16,24635,461906,212477,72.78,Brooklyn
16,16303,305681,125329,79.49,Brooklyn
13,14998,281213,115297,79.48,Brooklyn
27,39038,731963,314744,76.8,Brooklyn
12,20148,322771,145066,59.01,Brooklyn
12,20931,335315,150703,59.05,Brooklyn
12,15840,253757,114048,59.03,Brooklyn
14,19823,425203,174333,92.82,Brooklyn
14,24214,510431,209277,91.27,Brooklyn
19,40294,758736,417305,60.88,Brooklyn
28,38600,827970,339468,92.8,Brooklyn
14,16637,345384,141581,89.98,Brooklyn
14,16637,344386,141198,89.74,Brooklyn
14,16637,344386,141198,89.74,Brooklyn
14,16648,344614,141292,89.74,Brooklyn
14,14000,289800,118818,89.71,Brooklyn
28,45000,931500,381915,89.71,Brooklyn
28,32854,680078,278832,89.73,Brooklyn
20,32291,668424,274054,89.72,Brooklyn
28,32523,673226,276023,89.72,Brooklyn
14,17940,371358,152257,89.69,Brooklyn
28,38717,801442,328591,89.73,Brooklyn
25,43571,651822,293233,69.82,Brooklyn
15,21000,359940,161973,73.33,Brooklyn
26,40232,754350,339458,74.12,Brooklyn
14,14400,298080,122213,89.72,Brooklyn
42,33400,570806,279224,63.11,Brooklyn
45,51213,993020,504448,68.4,Brooklyn
86,85905,948391,426776,37.51,Brooklyn
28,24885,543240,222728,94.35,Brooklyn
13,11576,248305,101805,92.78,Brooklyn
120,129715,1963885,1049394,48.47,Brooklyn
20,22096,558587,259407,96.94,Brooklyn
26,35801,711366,355683,71.09,Brooklyn
40,40773,874581,358578,92.81,Brooklyn
11,11383,213773,91922,73.53,Brooklyn
36,52477,1052164,431387,84.59,Brooklyn
96,85701,2107388,800807,110.83,Brooklyn
27,30567,655662,268821,92.81,Brooklyn
40,35169,754375,339469,86.52,Brooklyn
181,206621,4698562,2060011,93.3,Brooklyn
114,112265,2484424,1062027,92.76,Brooklyn
34,30712,635738,286082,83.49,Brooklyn
37,29317,614777,307389,76.99,Brooklyn
31,47500,921025,377620,82.02,Brooklyn
35,29315,628807,282963,86.51,Brooklyn
63,105657,2338189,1052185,89.12,Brooklyn
24,30010,643715,289672,86.5,Brooklyn
12,11679,233580,95768,84.42,Brooklyn
152,138830,2977904,1340057,86.51,Brooklyn
21,30434,814414,333910,107.48,Brooklyn
24,28440,561690,252761,77.74,Brooklyn
30,24884,576065,236187,99.7,Brooklyn
74,126785,2166756,1045976,64.05,Brooklyn
32,36768,735360,373931,70.31,Brooklyn
16,17766,353010,141204,85.28,Brooklyn
15,15000,300000,138000,77.27,Brooklyn
23,24306,500947,225426,83.27,Brooklyn
17,23760,518681,233406,87.96,Brooklyn
10,10967,219340,97277,79.69,Brooklyn
8,9079,181580,80531,79.41,Brooklyn
10,10756,234803,101752,90.93,Brooklyn
11,17235,355213,154943,85.35,Brooklyn
9,10113,226632,100827,90.97,Brooklyn
1,6996,59326,37569,26.01,Brooklyn
10,11756,221365,101807,73.24,Brooklyn
14,13881,297747,133986,86.52,Brooklyn
15,27666,515694,232062,73.7,Brooklyn
16,19238,422400,190080,86.81,Brooklyn
30,25240,637815,282436,102.22,Brooklyn
15,13686,253875,119321,70.73,Brooklyn
14,9084,201029,82422,95.55,Brooklyn
12,12806,274689,112622,92.77,Brooklyn
24,30886,618029,265752,81.56,Brooklyn
26,23450,440391,197449,74.46,Brooklyn
16,19916,387964,159065,82.4,Brooklyn
16,19916,387964,159065,82.4,Brooklyn
24,24221,519540,229131,87.94,Brooklyn
24,29021,650361,266648,96.69,Brooklyn
15,16680,357786,157793,87.95,Brooklyn
22,18146,389232,175154,86.52,Brooklyn
51,46869,991279,376686,96.23,Brooklyn
62,82265,1739905,713361,91.57,Brooklyn
48,55337,1186979,534141,84.48,Brooklyn
54,51554,1155325,519896,90.12,Brooklyn
13,13677,256444,115400,74.14,Brooklyn
32,32770,679978,279200,89.44,Brooklyn
24,29704,660320,297144,89.45,Brooklyn
21,25438,495532,203168,82.4,Brooklyn
12,6529,137174,46291,101.85,Brooklyn
12,6373,156776,64278,105.45,Brooklyn
12,7247,178276,78441,100.18,Brooklyn
12,15562,303148,124291,82.38,Brooklyn
8,7474,147537,66294,77.6,Brooklyn
8,7587,149767,67297,77.63,Brooklyn
10,6345,143270,63260,90.47,Brooklyn
14,13819,286053,131281,82.28,Brooklyn
20,25216,511633,214886,84.47,Brooklyn
14,16819,315861,145653,72.83,Brooklyn
24,14248,270712,121820,74.96,Brooklyn
12,17800,346744,142165,82.36,Brooklyn
10,9082,188452,66389,98.33,Brooklyn
3,478,6424,1740,62.76,Brooklyn
12,16627,323894,132797,82.4,Brooklyn
25,24897,534041,240318,86.52,Brooklyn
17,22417,436683,179040,82.39,Brooklyn
62,52916,1135048,465370,92.81,Brooklyn
88,103921,2013989,704584,90.4,Brooklyn
16,14435,276863,97725,89.02,Brooklyn
16,25336,488731,217890,76.65,Brooklyn
16,8496,185977,81307,90.5,Brooklyn
15,16458,341504,136602,72.49,Brooklyn
14,13263,326800,135415,104.88,Brooklyn
8,9500,167960,92378,57.37,Brooklyn
7,9500,167960,92378,57.37,Brooklyn
30,34727,687942,394846,84.17,Brooklyn
16,14500,239395,100546,69.31,Brooklyn
15,15091,286416,120124,82.96,Brooklyn
29,34292,514037,218440,57.68,Brooklyn
15,12951,207086,81980,60.15,Brooklyn
23,20850,362790,61091,86.0,Brooklyn
52,63240,710185,294066,42.39,Brooklyn
16,19620,311173,149897,126.4,Brooklyn
12,15000,200700,102750,43.33,Brooklyn
15,3750,50175,25575,43.47,Brooklyn
103,103106,1760019,703183,65.41,Brooklyn
56,52920,414500,256662,19.78,Brooklyn
552,445921,4182447,2323248,26.57,Brooklyn
542,425720,3908110,2235030,23.39,Brooklyn
31,27508,514950,179352,81.1,Brooklyn
16,24834,277878,150246,34.15,Brooklyn
58,68514,800929,359699,41.2,Brooklyn
55,55638,653201,331046,39.72,Brooklyn
31,32396,499546,250421,52.75,Brooklyn
23,30000,690000,241500,109.2,Brooklyn
